,1.0,1.1,1.2,1.3,1.4
1.2,0.959,0.9585,0.959,0.9585,0.957
1.3,0.9595,0.9585,0.959,0.9585,0.9575
1.4,0.9595,0.9585,0.959,0.9585,0.9575
1.5,0.9595,0.9585,0.959,0.959,0.9575
1.6,0.9595,0.9585,0.959,0.9595,0.9575
