PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Arbiter PUF,Logistic Regression,40,2.0,0.9515
Arbiter PUF,Logistic Regression,40,2.1,0.9485
Arbiter PUF,Logistic Regression,40,2.2,0.943
Arbiter PUF,Logistic Regression,40,2.3,0.938
Arbiter PUF,Logistic Regression,40,2.4,0.9315
Arbiter PUF,Logistic Regression,40,2.5,0.924
Arbiter PUF,Logistic Regression,40,2.6,0.9155
Arbiter PUF,Logistic Regression,40,2.7,0.91
Arbiter PUF,Logistic Regression,40,2.8,0.9045
Arbiter PUF,Logistic Regression,40,2.9,0.8955
Arbiter PUF,Logistic Regression,50,0.8,0.961
Arbiter PUF,Logistic Regression,50,0.9,0.962
Arbiter PUF,Logistic Regression,50,1.0,0.9655
Arbiter PUF,Logistic Regression,50,1.1,0.9675
Arbiter PUF,Logistic Regression,50,1.2,0.9685
Arbiter PUF,Logistic Regression,50,1.3,0.969
Arbiter PUF,Logistic Regression,50,1.4,0.9675
Arbiter PUF,Logistic Regression,50,1.5,0.966
Arbiter PUF,Logistic Regression,50,1.6,0.9645
Arbiter PUF,Logistic Regression,50,1.7,0.9615
Arbiter PUF,Logistic Regression,50,1.8,0.9595
Arbiter PUF,Logistic Regression,50,1.9,0.956
Arbiter PUF,Logistic Regression,50,2.0,0.9545
Arbiter PUF,Logistic Regression,50,2.1,0.951
Arbiter PUF,Logistic Regression,50,2.2,0.9465
Arbiter PUF,Logistic Regression,50,2.3,0.9425
Arbiter PUF,Logistic Regression,50,2.4,0.937
Arbiter PUF,Logistic Regression,50,2.5,0.931
Arbiter PUF,Logistic Regression,50,2.6,0.924
Arbiter PUF,Logistic Regression,50,2.7,0.9155
Arbiter PUF,Logistic Regression,50,2.8,0.9105
Arbiter PUF,Logistic Regression,50,2.9,0.9045
Arbiter PUF,Logistic Regression,60,0.8,0.959
Arbiter PUF,Logistic Regression,60,0.9,0.9605
Arbiter PUF,Logistic Regression,60,1.0,0.964
Arbiter PUF,Logistic Regression,60,1.1,0.967
Arbiter PUF,Logistic Regression,60,1.2,0.968
Arbiter PUF,Logistic Regression,60,1.3,0.9695
Arbiter PUF,Logistic Regression,60,1.4,0.968
Arbiter PUF,Logistic Regression,60,1.5,0.9675
Arbiter PUF,Logistic Regression,60,1.6,0.9655
Arbiter PUF,Logistic Regression,60,1.7,0.963
Arbiter PUF,Logistic Regression,60,1.8,0.9615
Arbiter PUF,Logistic Regression,60,1.9,0.959
Arbiter PUF,Logistic Regression,60,2.0,0.9545
Arbiter PUF,Logistic Regression,60,2.1,0.9545
Arbiter PUF,Logistic Regression,60,2.2,0.9495
Arbiter PUF,Logistic Regression,60,2.3,0.9465
Arbiter PUF,Logistic Regression,60,2.4,0.9425
Arbiter PUF,Logistic Regression,60,2.5,0.936
Arbiter PUF,Logistic Regression,60,2.6,0.931
Arbiter PUF,Logistic Regression,60,2.7,0.924
Arbiter PUF,Logistic Regression,60,2.8,0.9155
Arbiter PUF,Logistic Regression,60,2.9,0.9115
Arbiter PUF,Logistic Regression,70,0.8,0.957
Arbiter PUF,Logistic Regression,70,0.9,0.961
Arbiter PUF,Logistic Regression,70,1.0,0.9635
Arbiter PUF,Logistic Regression,70,1.1,0.9655
Arbiter PUF,Logistic Regression,70,1.2,0.9675
Arbiter PUF,Logistic Regression,70,1.3,0.9695
Arbiter PUF,Logistic Regression,70,1.4,0.969
Arbiter PUF,Logistic Regression,70,1.5,0.968
Arbiter PUF,Logistic Regression,70,1.6,0.9665
Arbiter PUF,Logistic Regression,70,1.7,0.965
Arbiter PUF,Logistic Regression,70,1.8,0.962
Arbiter PUF,Logistic Regression,70,1.9,0.96
Arbiter PUF,Logistic Regression,70,2.0,0.9575
Arbiter PUF,Logistic Regression,70,2.1,0.9545
Arbiter PUF,Logistic Regression,70,2.2,0.953
Arbiter PUF,Logistic Regression,70,2.3,0.9495
Arbiter PUF,Logistic Regression,70,2.4,0.9465
Arbiter PUF,Logistic Regression,70,2.5,0.942
Arbiter PUF,Logistic Regression,70,2.6,0.9355
Arbiter PUF,Logistic Regression,70,2.7,0.931
Arbiter PUF,Logistic Regression,70,2.8,0.9245
Arbiter PUF,Logistic Regression,70,2.9,0.9165
Arbiter PUF,Logistic Regression,80,0.8,0.956
Arbiter PUF,Logistic Regression,80,0.9,0.961
Arbiter PUF,Logistic Regression,80,1.0,0.961
Arbiter PUF,Logistic Regression,80,1.1,0.965
Arbiter PUF,Logistic Regression,80,1.2,0.9665
Arbiter PUF,Logistic Regression,80,1.3,0.9685
Arbiter PUF,Logistic Regression,80,1.4,0.9695
Arbiter PUF,Logistic Regression,80,1.5,0.9685
Arbiter PUF,Logistic Regression,80,1.6,0.967
Arbiter PUF,Logistic Regression,80,1.7,0.9665
Arbiter PUF,Logistic Regression,80,1.8,0.9635
Arbiter PUF,Logistic Regression,80,1.9,0.9615
Arbiter PUF,Logistic Regression,80,2.0,0.9595
Arbiter PUF,Logistic Regression,80,2.1,0.9565
Arbiter PUF,Logistic Regression,80,2.2,0.9545
Arbiter PUF,Logistic Regression,80,2.3,0.9525
Arbiter PUF,Logistic Regression,80,2.4,0.949
Arbiter PUF,Logistic Regression,80,2.5,0.9465
Arbiter PUF,Logistic Regression,80,2.6,0.9415
Arbiter PUF,Logistic Regression,80,2.7,0.9355
Arbiter PUF,Logistic Regression,80,2.8,0.931
Arbiter PUF,Logistic Regression,80,2.9,0.9245
Arbiter PUF,Logistic Regression,90,0.8,0.9545
Arbiter PUF,Logistic Regression,90,0.9,0.9595
Arbiter PUF,Logistic Regression,90,1.0,0.961
Arbiter PUF,Logistic Regression,90,1.1,0.963
Arbiter PUF,Logistic Regression,90,1.2,0.966
Arbiter PUF,Logistic Regression,90,1.3,0.9675
Arbiter PUF,Logistic Regression,90,1.4,0.9695
Arbiter PUF,Logistic Regression,90,1.5,0.969
Arbiter PUF,Logistic Regression,90,1.6,0.9685
Arbiter PUF,Logistic Regression,90,1.7,0.9675
Arbiter PUF,Logistic Regression,90,1.8,0.9655
Arbiter PUF,Logistic Regression,90,1.9,0.9625
Arbiter PUF,Logistic Regression,90,2.0,0.9615
Arbiter PUF,Logistic Regression,90,2.1,0.9595
