PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
4-XOR Arbiter,Logistic regression Attack,30,2.9,0.8675
4-XOR Arbiter,Logistic regression Attack,40,0.8,0.963
4-XOR Arbiter,Logistic regression Attack,40,0.9,0.9675
4-XOR Arbiter,Logistic regression Attack,40,1.0,0.9735
4-XOR Arbiter,Logistic regression Attack,40,1.1,0.9795
4-XOR Arbiter,Logistic regression Attack,40,1.2,0.9835
4-XOR Arbiter,Logistic regression Attack,40,1.3,0.985
4-XOR Arbiter,Logistic regression Attack,40,1.4,0.9815
4-XOR Arbiter,Logistic regression Attack,40,1.5,0.974
4-XOR Arbiter,Logistic regression Attack,40,1.6,0.9675
4-XOR Arbiter,Logistic regression Attack,40,1.7,0.96
4-XOR Arbiter,Logistic regression Attack,40,1.8,0.9505
4-XOR Arbiter,Logistic regression Attack,40,1.9,0.9415
4-XOR Arbiter,Logistic regression Attack,40,2.0,0.934
4-XOR Arbiter,Logistic regression Attack,40,2.1,0.928
4-XOR Arbiter,Logistic regression Attack,40,2.2,0.924
4-XOR Arbiter,Logistic regression Attack,40,2.3,0.9175
4-XOR Arbiter,Logistic regression Attack,40,2.4,0.9105
4-XOR Arbiter,Logistic regression Attack,40,2.5,0.9015
4-XOR Arbiter,Logistic regression Attack,40,2.6,0.8935
4-XOR Arbiter,Logistic regression Attack,40,2.7,0.8855
4-XOR Arbiter,Logistic regression Attack,40,2.8,0.883
4-XOR Arbiter,Logistic regression Attack,40,2.9,0.8745
4-XOR Arbiter,Logistic regression Attack,50,0.8,0.9585
4-XOR Arbiter,Logistic regression Attack,50,0.9,0.9655
4-XOR Arbiter,Logistic regression Attack,50,1.0,0.9715
4-XOR Arbiter,Logistic regression Attack,50,1.1,0.9785
4-XOR Arbiter,Logistic regression Attack,50,1.2,0.9825
4-XOR Arbiter,Logistic regression Attack,50,1.3,0.984
4-XOR Arbiter,Logistic regression Attack,50,1.4,0.983
4-XOR Arbiter,Logistic regression Attack,50,1.5,0.977
4-XOR Arbiter,Logistic regression Attack,50,1.6,0.9745
4-XOR Arbiter,Logistic regression Attack,50,1.7,0.967
4-XOR Arbiter,Logistic regression Attack,50,1.8,0.9575
4-XOR Arbiter,Logistic regression Attack,50,1.9,0.949
4-XOR Arbiter,Logistic regression Attack,50,2.0,0.939
4-XOR Arbiter,Logistic regression Attack,50,2.1,0.9325
4-XOR Arbiter,Logistic regression Attack,50,2.2,0.9275
4-XOR Arbiter,Logistic regression Attack,50,2.3,0.923
4-XOR Arbiter,Logistic regression Attack,50,2.4,0.916
4-XOR Arbiter,Logistic regression Attack,50,2.5,0.91
4-XOR Arbiter,Logistic regression Attack,50,2.6,0.9015
4-XOR Arbiter,Logistic regression Attack,50,2.7,0.8935
4-XOR Arbiter,Logistic regression Attack,50,2.8,0.8855
4-XOR Arbiter,Logistic regression Attack,50,2.9,0.8835
4-XOR Arbiter,Logistic regression Attack,60,0.8,0.957
4-XOR Arbiter,Logistic regression Attack,60,0.9,0.965
4-XOR Arbiter,Logistic regression Attack,60,1.0,0.969
4-XOR Arbiter,Logistic regression Attack,60,1.1,0.975
4-XOR Arbiter,Logistic regression Attack,60,1.2,0.9805
4-XOR Arbiter,Logistic regression Attack,60,1.3,0.984
4-XOR Arbiter,Logistic regression Attack,60,1.4,0.9855
4-XOR Arbiter,Logistic regression Attack,60,1.5,0.9815
4-XOR Arbiter,Logistic regression Attack,60,1.6,0.975
4-XOR Arbiter,Logistic regression Attack,60,1.7,0.9705
4-XOR Arbiter,Logistic regression Attack,60,1.8,0.9645
4-XOR Arbiter,Logistic regression Attack,60,1.9,0.9555
4-XOR Arbiter,Logistic regression Attack,60,2.0,0.946
4-XOR Arbiter,Logistic regression Attack,60,2.1,0.9365
4-XOR Arbiter,Logistic regression Attack,60,2.2,0.931
4-XOR Arbiter,Logistic regression Attack,60,2.3,0.9275
4-XOR Arbiter,Logistic regression Attack,60,2.4,0.922
4-XOR Arbiter,Logistic regression Attack,60,2.5,0.9155
4-XOR Arbiter,Logistic regression Attack,60,2.6,0.9095
4-XOR Arbiter,Logistic regression Attack,60,2.7,0.9015
4-XOR Arbiter,Logistic regression Attack,60,2.8,0.8935
4-XOR Arbiter,Logistic regression Attack,60,2.9,0.8865
4-XOR Arbiter,Logistic regression Attack,70,0.8,0.957
4-XOR Arbiter,Logistic regression Attack,70,0.9,0.963
4-XOR Arbiter,Logistic regression Attack,70,1.0,0.9675
4-XOR Arbiter,Logistic regression Attack,70,1.1,0.973
4-XOR Arbiter,Logistic regression Attack,70,1.2,0.9785
4-XOR Arbiter,Logistic regression Attack,70,1.3,0.9825
4-XOR Arbiter,Logistic regression Attack,70,1.4,0.984
4-XOR Arbiter,Logistic regression Attack,70,1.5,0.983
4-XOR Arbiter,Logistic regression Attack,70,1.6,0.979
4-XOR Arbiter,Logistic regression Attack,70,1.7,0.975
4-XOR Arbiter,Logistic regression Attack,70,1.8,0.968
4-XOR Arbiter,Logistic regression Attack,70,1.9,0.961
4-XOR Arbiter,Logistic regression Attack,70,2.0,0.952
4-XOR Arbiter,Logistic regression Attack,70,2.1,0.9445
4-XOR Arbiter,Logistic regression Attack,70,2.2,0.9355
4-XOR Arbiter,Logistic regression Attack,70,2.3,0.93
4-XOR Arbiter,Logistic regression Attack,70,2.4,0.927
4-XOR Arbiter,Logistic regression Attack,70,2.5,0.9215
4-XOR Arbiter,Logistic regression Attack,70,2.6,0.915
4-XOR Arbiter,Logistic regression Attack,70,2.7,0.909
4-XOR Arbiter,Logistic regression Attack,70,2.8,0.902
4-XOR Arbiter,Logistic regression Attack,70,2.9,0.894
4-XOR Arbiter,Logistic regression Attack,80,0.8,0.9565
4-XOR Arbiter,Logistic regression Attack,80,0.9,0.959
4-XOR Arbiter,Logistic regression Attack,80,1.0,0.965
4-XOR Arbiter,Logistic regression Attack,80,1.1,0.97
4-XOR Arbiter,Logistic regression Attack,80,1.2,0.9755
4-XOR Arbiter,Logistic regression Attack,80,1.3,0.9805
