PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Arbiter PUF,Logistic Regression,40,2.0,0.9425
Arbiter PUF,Logistic Regression,40,2.1,0.9385
Arbiter PUF,Logistic Regression,40,2.2,0.931
Arbiter PUF,Logistic Regression,40,2.3,0.927
Arbiter PUF,Logistic Regression,40,2.4,0.9215
Arbiter PUF,Logistic Regression,40,2.5,0.915
Arbiter PUF,Logistic Regression,40,2.6,0.9085
Arbiter PUF,Logistic Regression,40,2.7,0.903
Arbiter PUF,Logistic Regression,40,2.8,0.8985
Arbiter PUF,Logistic Regression,40,2.9,0.8895
Arbiter PUF,Logistic Regression,50,0.8,0.956
Arbiter PUF,Logistic Regression,50,0.9,0.958
Arbiter PUF,Logistic Regression,50,1.0,0.9605
Arbiter PUF,Logistic Regression,50,1.1,0.9625
Arbiter PUF,Logistic Regression,50,1.2,0.9625
Arbiter PUF,Logistic Regression,50,1.3,0.964
Arbiter PUF,Logistic Regression,50,1.4,0.9615
Arbiter PUF,Logistic Regression,50,1.5,0.958
Arbiter PUF,Logistic Regression,50,1.6,0.9565
Arbiter PUF,Logistic Regression,50,1.7,0.9545
Arbiter PUF,Logistic Regression,50,1.8,0.9525
Arbiter PUF,Logistic Regression,50,1.9,0.948
Arbiter PUF,Logistic Regression,50,2.0,0.9445
Arbiter PUF,Logistic Regression,50,2.1,0.942
Arbiter PUF,Logistic Regression,50,2.2,0.9365
Arbiter PUF,Logistic Regression,50,2.3,0.9305
Arbiter PUF,Logistic Regression,50,2.4,0.926
Arbiter PUF,Logistic Regression,50,2.5,0.921
Arbiter PUF,Logistic Regression,50,2.6,0.915
Arbiter PUF,Logistic Regression,50,2.7,0.9085
Arbiter PUF,Logistic Regression,50,2.8,0.9035
Arbiter PUF,Logistic Regression,50,2.9,0.8985
Arbiter PUF,Logistic Regression,60,0.8,0.956
Arbiter PUF,Logistic Regression,60,0.9,0.9565
Arbiter PUF,Logistic Regression,60,1.0,0.96
Arbiter PUF,Logistic Regression,60,1.1,0.963
Arbiter PUF,Logistic Regression,60,1.2,0.961
Arbiter PUF,Logistic Regression,60,1.3,0.9645
Arbiter PUF,Logistic Regression,60,1.4,0.962
Arbiter PUF,Logistic Regression,60,1.5,0.9595
Arbiter PUF,Logistic Regression,60,1.6,0.9585
Arbiter PUF,Logistic Regression,60,1.7,0.954
Arbiter PUF,Logistic Regression,60,1.8,0.9545
Arbiter PUF,Logistic Regression,60,1.9,0.952
Arbiter PUF,Logistic Regression,60,2.0,0.9465
Arbiter PUF,Logistic Regression,60,2.1,0.9445
Arbiter PUF,Logistic Regression,60,2.2,0.9405
Arbiter PUF,Logistic Regression,60,2.3,0.9365
Arbiter PUF,Logistic Regression,60,2.4,0.9305
Arbiter PUF,Logistic Regression,60,2.5,0.926
Arbiter PUF,Logistic Regression,60,2.6,0.921
Arbiter PUF,Logistic Regression,60,2.7,0.915
Arbiter PUF,Logistic Regression,60,2.8,0.9085
Arbiter PUF,Logistic Regression,60,2.9,0.9045
Arbiter PUF,Logistic Regression,70,0.8,0.955
Arbiter PUF,Logistic Regression,70,0.9,0.955
Arbiter PUF,Logistic Regression,70,1.0,0.9595
Arbiter PUF,Logistic Regression,70,1.1,0.9615
Arbiter PUF,Logistic Regression,70,1.2,0.9615
Arbiter PUF,Logistic Regression,70,1.3,0.9625
Arbiter PUF,Logistic Regression,70,1.4,0.964
Arbiter PUF,Logistic Regression,70,1.5,0.962
Arbiter PUF,Logistic Regression,70,1.6,0.9585
Arbiter PUF,Logistic Regression,70,1.7,0.957
Arbiter PUF,Logistic Regression,70,1.8,0.955
Arbiter PUF,Logistic Regression,70,1.9,0.953
Arbiter PUF,Logistic Regression,70,2.0,0.9505
Arbiter PUF,Logistic Regression,70,2.1,0.9455
Arbiter PUF,Logistic Regression,70,2.2,0.944
Arbiter PUF,Logistic Regression,70,2.3,0.9405
Arbiter PUF,Logistic Regression,70,2.4,0.9355
Arbiter PUF,Logistic Regression,70,2.5,0.93
Arbiter PUF,Logistic Regression,70,2.6,0.9255
Arbiter PUF,Logistic Regression,70,2.7,0.921
Arbiter PUF,Logistic Regression,70,2.8,0.9155
Arbiter PUF,Logistic Regression,70,2.9,0.9085
Arbiter PUF,Logistic Regression,80,0.8,0.954
Arbiter PUF,Logistic Regression,80,0.9,0.956
Arbiter PUF,Logistic Regression,80,1.0,0.957
Arbiter PUF,Logistic Regression,80,1.1,0.961
Arbiter PUF,Logistic Regression,80,1.2,0.9625
Arbiter PUF,Logistic Regression,80,1.3,0.9615
Arbiter PUF,Logistic Regression,80,1.4,0.9645
Arbiter PUF,Logistic Regression,80,1.5,0.9625
Arbiter PUF,Logistic Regression,80,1.6,0.96
Arbiter PUF,Logistic Regression,80,1.7,0.9575
Arbiter PUF,Logistic Regression,80,1.8,0.9555
Arbiter PUF,Logistic Regression,80,1.9,0.9545
Arbiter PUF,Logistic Regression,80,2.0,0.9525
Arbiter PUF,Logistic Regression,80,2.1,0.9495
Arbiter PUF,Logistic Regression,80,2.2,0.9455
Arbiter PUF,Logistic Regression,80,2.3,0.9435
Arbiter PUF,Logistic Regression,80,2.4,0.94
Arbiter PUF,Logistic Regression,80,2.5,0.9355
Arbiter PUF,Logistic Regression,80,2.6,0.9295
