PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Lightweight Secure PUF,MLP Attack,40,1.7,0.499
Lightweight Secure PUF,MLP Attack,40,1.8,0.497
Lightweight Secure PUF,MLP Attack,40,1.9,0.498
Lightweight Secure PUF,MLP Attack,40,2.0,0.501
Lightweight Secure PUF,MLP Attack,40,2.1,0.5
Lightweight Secure PUF,MLP Attack,40,2.2,0.5005
Lightweight Secure PUF,MLP Attack,40,2.3,0.501
Lightweight Secure PUF,MLP Attack,40,2.4,0.497
Lightweight Secure PUF,MLP Attack,40,2.5,0.494
Lightweight Secure PUF,MLP Attack,40,2.6,0.494
Lightweight Secure PUF,MLP Attack,40,2.7,0.4955
Lightweight Secure PUF,MLP Attack,40,2.8,0.496
Lightweight Secure PUF,MLP Attack,40,2.9,0.492
Lightweight Secure PUF,MLP Attack,50,0.8,0.5045
Lightweight Secure PUF,MLP Attack,50,0.9,0.5055
Lightweight Secure PUF,MLP Attack,50,1.0,0.5065
Lightweight Secure PUF,MLP Attack,50,1.1,0.505
Lightweight Secure PUF,MLP Attack,50,1.2,0.5035
Lightweight Secure PUF,MLP Attack,50,1.3,0.505
Lightweight Secure PUF,MLP Attack,50,1.4,0.5065
Lightweight Secure PUF,MLP Attack,50,1.5,0.506
Lightweight Secure PUF,MLP Attack,50,1.6,0.502
Lightweight Secure PUF,MLP Attack,50,1.7,0.5015
Lightweight Secure PUF,MLP Attack,50,1.8,0.4985
Lightweight Secure PUF,MLP Attack,50,1.9,0.4985
Lightweight Secure PUF,MLP Attack,50,2.0,0.4975
Lightweight Secure PUF,MLP Attack,50,2.1,0.4995
Lightweight Secure PUF,MLP Attack,50,2.2,0.5015
Lightweight Secure PUF,MLP Attack,50,2.3,0.501
Lightweight Secure PUF,MLP Attack,50,2.4,0.501
Lightweight Secure PUF,MLP Attack,50,2.5,0.4975
Lightweight Secure PUF,MLP Attack,50,2.6,0.494
Lightweight Secure PUF,MLP Attack,50,2.7,0.494
Lightweight Secure PUF,MLP Attack,50,2.8,0.4975
Lightweight Secure PUF,MLP Attack,50,2.9,0.4965
Lightweight Secure PUF,MLP Attack,60,0.8,0.5045
Lightweight Secure PUF,MLP Attack,60,0.9,0.5055
Lightweight Secure PUF,MLP Attack,60,1.0,0.5045
Lightweight Secure PUF,MLP Attack,60,1.1,0.506
Lightweight Secure PUF,MLP Attack,60,1.2,0.5045
Lightweight Secure PUF,MLP Attack,60,1.3,0.504
Lightweight Secure PUF,MLP Attack,60,1.4,0.5055
Lightweight Secure PUF,MLP Attack,60,1.5,0.5065
Lightweight Secure PUF,MLP Attack,60,1.6,0.5035
Lightweight Secure PUF,MLP Attack,60,1.7,0.502
Lightweight Secure PUF,MLP Attack,60,1.8,0.4995
Lightweight Secure PUF,MLP Attack,60,1.9,0.4975
Lightweight Secure PUF,MLP Attack,60,2.0,0.4985
Lightweight Secure PUF,MLP Attack,60,2.1,0.498
Lightweight Secure PUF,MLP Attack,60,2.2,0.498
Lightweight Secure PUF,MLP Attack,60,2.3,0.5015
Lightweight Secure PUF,MLP Attack,60,2.4,0.5015
Lightweight Secure PUF,MLP Attack,60,2.5,0.5
Lightweight Secure PUF,MLP Attack,60,2.6,0.4975
Lightweight Secure PUF,MLP Attack,60,2.7,0.494
Lightweight Secure PUF,MLP Attack,60,2.8,0.4945
Lightweight Secure PUF,MLP Attack,60,2.9,0.4965
Lightweight Secure PUF,MLP Attack,70,0.8,0.5045
Lightweight Secure PUF,MLP Attack,70,0.9,0.5055
Lightweight Secure PUF,MLP Attack,70,1.0,0.506
Lightweight Secure PUF,MLP Attack,70,1.1,0.507
Lightweight Secure PUF,MLP Attack,70,1.2,0.5045
Lightweight Secure PUF,MLP Attack,70,1.3,0.5035
Lightweight Secure PUF,MLP Attack,70,1.4,0.505
Lightweight Secure PUF,MLP Attack,70,1.5,0.5065
Lightweight Secure PUF,MLP Attack,70,1.6,0.5065
Lightweight Secure PUF,MLP Attack,70,1.7,0.503
Lightweight Secure PUF,MLP Attack,70,1.8,0.5015
Lightweight Secure PUF,MLP Attack,70,1.9,0.499
Lightweight Secure PUF,MLP Attack,70,2.0,0.498
Lightweight Secure PUF,MLP Attack,70,2.1,0.498
Lightweight Secure PUF,MLP Attack,70,2.2,0.4995
Lightweight Secure PUF,MLP Attack,70,2.3,0.4975
Lightweight Secure PUF,MLP Attack,70,2.4,0.5005
Lightweight Secure PUF,MLP Attack,70,2.5,0.502
Lightweight Secure PUF,MLP Attack,70,2.6,0.4995
Lightweight Secure PUF,MLP Attack,70,2.7,0.4975
Lightweight Secure PUF,MLP Attack,70,2.8,0.494
Lightweight Secure PUF,MLP Attack,70,2.9,0.495
Lightweight Secure PUF,MLP Attack,80,0.8,0.5045
Lightweight Secure PUF,MLP Attack,80,0.9,0.505
Lightweight Secure PUF,MLP Attack,80,1.0,0.5055
Lightweight Secure PUF,MLP Attack,80,1.1,0.5055
Lightweight Secure PUF,MLP Attack,80,1.2,0.5055
Lightweight Secure PUF,MLP Attack,80,1.3,0.5045
Lightweight Secure PUF,MLP Attack,80,1.4,0.5045
Lightweight Secure PUF,MLP Attack,80,1.5,0.5055
Lightweight Secure PUF,MLP Attack,80,1.6,0.5065
Lightweight Secure PUF,MLP Attack,80,1.7,0.505
Lightweight Secure PUF,MLP Attack,80,1.8,0.502
Lightweight Secure PUF,MLP Attack,80,1.9,0.5015
Lightweight Secure PUF,MLP Attack,80,2.0,0.4985
Lightweight Secure PUF,MLP Attack,80,2.1,0.497
Lightweight Secure PUF,MLP Attack,80,2.2,0.4985
Lightweight Secure PUF,MLP Attack,80,2.3,0.4995
Lightweight Secure PUF,MLP Attack,80,2.4,0.499
Lightweight Secure PUF,MLP Attack,80,2.5,0.501
Lightweight Secure PUF,MLP Attack,80,2.6,0.5025
Lightweight Secure PUF,MLP Attack,80,2.7,0.5
Lightweight Secure PUF,MLP Attack,80,2.8,0.4975
Lightweight Secure PUF,MLP Attack,80,2.9,0.494
Lightweight Secure PUF,MLP Attack,90,0.8,0.5045
Lightweight Secure PUF,MLP Attack,90,0.9,0.5045
Lightweight Secure PUF,MLP Attack,90,1.0,0.5055
Lightweight Secure PUF,MLP Attack,90,1.1,0.505
Lightweight Secure PUF,MLP Attack,90,1.2,0.507
Lightweight Secure PUF,MLP Attack,90,1.3,0.505
Lightweight Secure PUF,MLP Attack,90,1.4,0.504
Lightweight Secure PUF,MLP Attack,90,1.5,0.505
Lightweight Secure PUF,MLP Attack,90,1.6,0.507
Lightweight Secure PUF,MLP Attack,90,1.7,0.506
Lightweight Secure PUF,MLP Attack,90,1.8,0.503
Lightweight Secure PUF,MLP Attack,90,1.9,0.5015
Lightweight Secure PUF,MLP Attack,90,2.0,0.4995
Lightweight Secure PUF,MLP Attack,90,2.1,0.4985
Lightweight Secure PUF,MLP Attack,90,2.2,0.4985
Lightweight Secure PUF,MLP Attack,90,2.3,0.498
Lightweight Secure PUF,MLP Attack,90,2.4,0.5005
Lightweight Secure PUF,MLP Attack,90,2.5,0.499
Lightweight Secure PUF,MLP Attack,90,2.6,0.501
Lightweight Secure PUF,MLP Attack,90,2.7,0.5015
Lightweight Secure PUF,MLP Attack,90,2.8,0.4995
Lightweight Secure PUF,MLP Attack,90,2.9,0.4975
Lightweight Secure PUF,MLP Attack,100,0.8,0.5045
Lightweight Secure PUF,MLP Attack,100,0.9,0.505
