Temperature,Vdd,Uniqueness
10,0.5,49.75226842105262
10,0.51,49.747226315789476
10,0.52,49.73622105263157
10,0.53,49.73732105263155
10,0.54,49.737878947368415
10,0.55,49.74245263157895
10,0.56,49.73859473684211
10,0.57,49.74369999999997
10,0.58,49.75649473684211
10,0.59,49.73282105263158
10,0.6,49.7425842105263
10,0.61,49.74664210526317
10,0.62,49.74634210526316
10,0.63,49.7352736842105
10,0.64,49.74041578947369
10,0.65,49.77390526315788
10,0.66,49.752636842105275
10,0.67,49.74105263157896
10,0.68,49.76600000000003
10,0.69,49.73683157894739
10,0.7,49.76123157894739
10,0.71,49.77096842105261
10,0.72,49.75032631578951
10,0.73,49.73729473684212
10,0.74,49.767284210526306
10,0.75,49.74530526315788
10,0.76,49.73826842105263
10,0.77,49.75578421052629
10,0.78,49.76676315789476
10,0.79,49.76357894736842
10,0.8,49.7628947368421
10,0.81,49.75843157894735
10,0.82,49.74677894736841
10,0.83,49.768673684210505
10,0.84,49.74534210526317
10,0.85,49.775331578947345
10,0.86,49.741599999999984
10,0.87,49.777278947368394
10,0.88,49.75814210526316
10,0.89,49.75806315789475
10,0.9,49.77958947368422
10,0.91,49.76787894736844
10,0.92,49.777515789473654
10,0.93,49.757726315789455
10,0.94,49.78213684210526
10,0.95,49.793678947368406
10,0.96,49.77666315789474
10,0.97,49.78835789473683
10,0.98,49.79118421052632
10,0.99,49.786984210526334
10,1.0,49.77848421052631
10,1.01,49.77346315789473
10,1.02,49.80851052631577
10,1.03,49.791542105263154
10,1.04,49.78108421052633
10,1.05,49.803436842105285
10,1.06,49.78922105263156
10,1.07,49.79446315789474
10,1.08,49.77539473684211
10,1.09,49.779057894736845
10,1.1,49.79984210526316
10,1.11,49.801726315789466
10,1.12,49.79322105263158
10,1.13,49.81105263157898
10,1.14,49.807915789473675
10,1.15,49.790368421052605
10,1.16,49.792547368421054
10,1.17,49.81200526315788
10,1.18,49.825515789473656
10,1.19,49.79859473684211
10,1.2,49.823431578947364
10,1.21,49.83181578947369
10,1.22,49.79370526315789
10,1.23,49.82683157894732
10,1.24,49.83967894736842
10,1.25,49.804300000000005
10,1.26,49.79972105263153
10,1.27,49.8177947368421
10,1.28,49.83478421052631
10,1.29,49.827757894736855
10,1.3,49.85185263157895
10,1.31,49.839899999999986
10,1.32,49.821415789473676
10,1.33,49.84318947368422
10,1.34,49.83298947368417
10,1.35,49.84387894736843
10,1.36,49.83108421052631
10,1.37,49.8634
10,1.38,49.840152631578945
10,1.39,49.8344947368421
10,1.4,49.85380526315792
10,1.41,49.840999999999994
10,1.42,49.86924210526315
10,1.43,49.86340526315787
10,1.44,49.87186315789472
10,1.45,49.85485263157895
10,1.46,49.86028947368419
10,1.47,49.852673684210515
10,1.48,49.87226842105264
10,1.49,49.86069473684213
10,1.5,49.862821052631595
10,1.51,49.88924736842104
10,1.52,49.882389473684206
10,1.53,49.88742105263158
10,1.54,49.87254210526317
10,1.55,49.88666842105263
10,1.56,49.892594736842106
10,1.57,49.87687368421053
10,1.58,49.89354210526316
10,1.59,49.877252631578905
10,1.6,49.89606315789475
10,1.61,49.89225263157895
10,1.62,49.88583684210526
